lbl,category,length,msr,value,lb,ub,se,is_sig
f508,PI,1480,r2,-0.012526383780346206,-0.1609398281917141,0.06255340813068673,0.056898006466587,False
f508,PI,All,r2,0.36996453605426616,0.27046060450430603,0.4426793112190653,0.04232783177649844,True
f508,infection,1480,r2,-0.06003162266935491,-0.18658785510627024,-0.011831119269514755,0.05255338037224812,True
f508,infection,All,r2,-0.012733179176950271,-0.04586812869250473,-0.003766510148774502,0.010298967896903776,True
f508,lung_max_All,1480,r2,-0.004686076332375055,-0.15523438085551472,0.006423575504099076,0.04182348963470795,False
f508,lung_max_All,All,r2,-0.007615646701565559,-0.0981546103202871,-6.610287327243691e-06,0.020926549398692557,True
f508,lung_mid_All,1480,r2,-0.09124280522357475,-0.2981756642895037,-0.03461134101928155,0.07315243020453219,True
f508,lung_mid_All,All,r2,-0.062028762622186484,-0.13255236141881155,-0.03906757611481116,0.024796665748492885,True
f508,lung_min_All,1480,r2,-0.052006909003323276,-0.20051399937204373,-0.013544453712876202,0.052992745645777196,True
f508,lung_min_All,All,r2,-0.04848684390497415,-0.11599714015709328,-0.032782698535289145,0.020531776437074132,True
f508,sweat,1480,r2,-0.13691266868741292,-0.28834024983998874,-0.05878012432029174,0.0588050149567181,True
f508,sweat,All,r2,0.13893041312851584,0.07082617322110318,0.19056666227648347,0.030000528714355244,True
int,PI,1480,r2,-0.019148174785808436,-0.14741238432888581,0.06962006667363167,0.05546934765910108,False
int,PI,All,r2,0.3784666524502478,0.30830532964881074,0.4435342074081542,0.03674076427907228,True
int,infection,1480,r2,-0.02602482131910011,-0.12005410700166814,-0.0013673870965551702,0.031068798567752975,True
int,infection,All,r2,-0.007199634570121294,-0.0361640796880852,0.0008881472105356735,0.008738130910731896,False
int,lung_max_All,1480,r2,-0.03041763976445222,-0.13735606827991362,-0.01143006983058556,0.028612323505788472,True
int,lung_max_All,All,r2,-0.026008883997227228,-0.06616623779736036,-0.009858931980931082,0.01878146605337824,True
int,lung_mid_All,1480,r2,-0.04773733395862134,-0.23863206588338834,-0.013889544273363447,0.0620808195123121,True
int,lung_mid_All,All,r2,-0.03825123232695948,-0.0838711563801748,-0.020792252879234762,0.015580074125809468,True
int,lung_min_All,1480,r2,-0.010307140008086746,-0.12296381317241266,0.004353158819704777,0.03205824449942518,False
int,lung_min_All,All,r2,-0.030423438782826384,-0.07306677796376929,-0.01689098773708764,0.016326043079605983,True
int,sweat,1480,r2,-0.08349480339494098,-0.18810053097375487,-0.0348237239654961,0.03957191438247176,True
int,sweat,All,r2,0.2432810890099898,0.19015460678718243,0.29699749598406805,0.027912020958488007,True
f508,PI,1480,tau,0.10368937670347333,-0.02448105667618411,0.25714924540204515,0.07135767440963052,False
f508,PI,All,tau,0.4262060408245051,0.34928653390847714,0.4894568478248482,0.036344333290208294,True
f508,infection,1480,tau,-0.10128046985170194,-0.25035337934703444,0.04268063002063077,0.07665401860458719,False
f508,infection,All,tau,-0.09759543477063856,-0.18888767587976776,0.003653716474398136,0.05283285746809642,False
f508,lung_max_All,1480,tau,-0.08641755788090504,-0.3089136373283508,0.14467420804166944,0.11547199188121313,False
f508,lung_max_All,All,tau,-0.09796828239656728,-0.2276154065475519,0.04103585537445238,0.07076943969554157,False
f508,lung_mid_All,1480,tau,-0.3088718401714356,-0.49597532792454707,-0.10424499909815617,0.09396933918798818,True
f508,lung_mid_All,All,tau,-0.27122139612670515,-0.42306979701977004,-0.12473519734737275,0.07672116996517883,True
f508,lung_min_All,1480,tau,-0.14989223391350545,-0.35433725254979137,0.08239544222740729,0.11214832874240303,False
f508,lung_min_All,All,tau,-0.18057874375953037,-0.3323036546679876,-0.019048534018628657,0.08090289856250886,True
f508,sweat,1480,tau,-0.18436104079511834,-0.3236213667432254,-0.04430925706526425,0.07307262088262899,True
f508,sweat,All,tau,0.24313747329818083,0.1579797356406598,0.319315816041137,0.042744066410847145,True
int,PI,1480,tau,0.07813486618541443,-0.05095498323167669,0.20347691704316173,0.0676210349864819,False
int,PI,All,tau,0.4278232434581378,0.37219073897921723,0.4828047201555675,0.0301709152125992,True
int,infection,1480,tau,-0.12920189878030358,-0.25883234887276035,0.03189566408123722,0.07588998350216711,False
int,infection,All,tau,-0.050784811978361405,-0.15375144540631627,0.048381625993080025,0.049525551701003145,False
int,lung_max_All,1480,tau,-0.14319204419962256,-0.31290734096759465,0.016446640843209865,0.09301492435959996,False
int,lung_max_All,All,tau,-0.1295600011070245,-0.26185931394015144,-0.0024486198163502387,0.0656095151482561,True
int,lung_mid_All,1480,tau,-0.1469190567592368,-0.3460647574205618,0.05479796177838866,0.10377208837998561,False
int,lung_mid_All,All,tau,-0.18071691811965498,-0.28944816640657145,-0.061314999599688245,0.059810481248862894,True
int,lung_min_All,1480,tau,0.017830457820262522,-0.20906059618128447,0.19053496705106943,0.09592171350557376,False
int,lung_min_All,All,tau,-0.1308862460310989,-0.26688728006174695,-0.008462487648796707,0.06517302196645691,True
int,sweat,1480,tau,-0.05097238230148519,-0.1652566020524512,0.04885015776401681,0.05584078394468393,False
int,sweat,All,tau,0.3476165201492677,0.28630140751230565,0.41248130448170695,0.03359093277457343,True
f508,PI,1480,rho,0.15097538038248728,-0.047714806992005934,0.3698913218154182,0.10601956289371074,False
f508,PI,All,rho,0.6079050290263078,0.5124759262769655,0.6902440871144274,0.04639181706661074,True
f508,infection,1480,rho,-0.14407659181516744,-0.34685219691015673,0.0485093405427043,0.10267971709338554,False
f508,infection,All,rho,-0.13718399458981642,-0.26517165224326683,0.0037226908586283874,0.07201428323168355,False
f508,lung_max_All,1480,rho,-0.13307427919082274,-0.4445900726791625,0.1846641316531109,0.15946430417304427,False
f508,lung_max_All,All,rho,-0.1384358672042654,-0.3181576372802113,0.04530450447951904,0.09618456457921527,False
f508,lung_mid_All,1480,rho,-0.42427717174125146,-0.6385897105577343,-0.15192337469052003,0.12031958830755095,True
f508,lung_mid_All,All,rho,-0.35945082318041127,-0.5580535613939405,-0.17029550293869722,0.09934802650354609,True
f508,lung_min_All,1480,rho,-0.20496032741691841,-0.4529017802221421,0.1062799157516379,0.14311631967970476,False
f508,lung_min_All,All,rho,-0.24700455812680783,-0.4478982824587019,-0.023842156520798498,0.10609127271397198,True
f508,sweat,1480,rho,-0.25082137306802854,-0.4389316556200334,-0.055683724081019736,0.10132378244476486,True
f508,sweat,All,rho,0.3771283043937505,0.2516508673435984,0.4902739641118041,0.06175440070043208,True
int,PI,1480,rho,0.1181622684711403,-0.06288139592065907,0.2992869799478144,0.09509998457835667,False
int,PI,All,rho,0.6205075857500256,0.5503504427629613,0.6813881313066065,0.03691745713202455,True
int,infection,1480,rho,-0.1788576217188292,-0.3552454979331061,0.03993759515387786,0.10307559797484504,False
int,infection,All,rho,-0.07187001287797443,-0.21633287474743798,0.06644022122766534,0.06837160375953343,False
int,lung_max_All,1480,rho,-0.2008492637861837,-0.41742059330496584,0.01676866392901054,0.12352538563175076,False
int,lung_max_All,All,rho,-0.17979554558225644,-0.35648717824187237,-0.004277735973981112,0.08814829269243413,True
int,lung_mid_All,1480,rho,-0.19347872783147038,-0.45969917776062236,0.07534084007720497,0.13646887807660563,False
int,lung_mid_All,All,rho,-0.2430892252960881,-0.3897606270518304,-0.08003076026528283,0.08051416971998919,True
int,lung_min_All,1480,rho,0.033093339223534544,-0.2688820973037816,0.26401320694805175,0.13092623308723583,False
int,lung_min_All,All,rho,-0.1764820888214396,-0.35912314654091493,-0.018242926128528694,0.08746304875674023,True
int,sweat,1480,rho,-0.07784038448106885,-0.25674275191502466,0.08446013246340422,0.08628798686703845,False
int,sweat,All,rho,0.515181658135959,0.4162242233669642,0.5968012803581236,0.046387457312084684,True
